id;bulletin_year;bulletin_nr;office;search_type;mailed_date;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
5009197;2005;46;"EP";"NAT";9999-12-31;"EP";"1596493";"A1";2005-11-16;"de"
14179310;2015;35;"EP";"NAT";9999-12-31;"EP";"2910779";"A1";2015-08-26;"en"
14179553;0;0;"EP";"SUP";2014-12-15;"  ";"";"  ";9999-12-31;"  "
13175120;2017;8;"EP";"NAT";9999-12-31;"EP";"2703294";"A3";2017-02-22;"en"
13176741;0;0;"EP";"SUP";2013-09-06;"  ";"";"  ";9999-12-31;"  "
10819474;0;0;"EP";"SUP";2015-11-17;"  ";"";"  ";9999-12-31;"  "
10819474;2011;13;"KR";"ISR";9999-12-31;"WO";"2011038140";"A2";2011-03-31;"en"
14166007;2015;44;"EP";"NAT";9999-12-31;"EP";"2937559";"A1";2015-10-28;"de"
14175040;0;0;"EP";"SUP";2015-02-16;"  ";"";"  ";9999-12-31;"  "
7013724;0;0;"EP";"SUP";2008-03-06;"  ";"";"  ";9999-12-31;"  "
7013724;2008;22;"EP";"NAT";9999-12-31;"EP";"1925582";"A1";2008-05-28;"en"
14804759;0;0;"EP";"SUP";2016-04-29;"  ";"";"  ";9999-12-31;"  "
14804759;2014;49;"CN";"ISR";9999-12-31;"WO";"2014190888";"A1";2014-12-04;"zh"
9425037;2010;33;"EP";"NAT";9999-12-31;"EP";"2218643";"A1";2010-08-18;"en"
9447062;0;0;"EP";"SUP";2010-05-18;"  ";"";"  ";9999-12-31;"  "
80400613;1980;25;"EP";"NAT";9999-12-31;"EP";"0020207";"A1";1980-12-10;"en"
80890064;0;0;"EP";"SUP";1980-08-18;"  ";"";"  ";9999-12-31;"  "
97944138;0;0;"EP";"SUP";2006-10-13;"  ";"";"  ";9999-12-31;"  "
97944138;1998;17;"JP";"ISR";9999-12-31;"WO";"9817577";"A1";1998-04-30;"en"
98201221;0;0;"EP";"SUP";1998-07-27;"  ";"";"  ";9999-12-31;"  "
98201221;1998;43;"EP";"NAT";9999-12-31;"EP";"0872823";"A1";1998-10-21;"en"
14800380;2014;48;"KR";"ISR";9999-12-31;"WO";"2014189288";"A1";2014-11-27;"ko"
14802077;2015;21;"EP";"ISR";9999-12-31;"WO";"2015075239";"A1";2015-05-28;"en"
14817724;0;0;"EP";"SUP";2017-01-26;"  ";"";"  ";9999-12-31;"  "
14817724;2015;1;"JP";"ISR";9999-12-31;"WO";"2014208340";"A1";2014-12-31;"ja"
15842399;0;0;"EP";"SUP";2018-04-04;"  ";"";"  ";9999-12-31;"  "
15842399;2016;12;"KR";"ISR";9999-12-31;"WO";"2016043415";"A1";2016-03-24;"ko"
12716579;2012;43;"EP";"ISR";9999-12-31;"WO";"2012143734";"A1";2012-10-26;"en"
12718268;2012;49;"EP";"ISR";9999-12-31;"WO";"2012163629";"A1";2012-12-06;"de"
80830068;0;0;"EP";"SUP";1980-12-08;"  ";"";"  ";9999-12-31;"  "
80830068;1981;10;"EP";"NAT";9999-12-31;"EP";"0025023";"A1";1981-03-11;"fr"
3718489;2003;44;"EP";"ISR";9999-12-31;"WO";"03090412";"A1";2003-10-30;"en"
3732393;2003;49;"EP";"ISR";9999-12-31;"WO";"03100268";"A1";2003-12-04;"de"
12757515;2012;38;"JP";"ISR";9999-12-31;"WO";"2012124450";"A1";2012-09-20;"ja"
12771351;0;0;"EP";"SUP";2014-09-22;"  ";"";"  ";9999-12-31;"  "
14179553;2015;6;"EP";"NAT";9999-12-31;"EP";"2833652";"A1";2015-02-04;"en"
14183004;0;0;"EP";"SUP";2015-05-07;"  ";"";"  ";9999-12-31;"  "
14169686;0;0;"EP";"SUP";2014-12-23;"  ";"";"  ";9999-12-31;"  "
14169686;2015;7;"EP";"NAT";9999-12-31;"EP";"2835090";"A1";2015-02-11;"en"
14824180;2015;22;"EP";"ISR";9999-12-31;"WO";"2015081135";"A1";2015-06-04;"en"
14824447;2015;29;"EP";"ISR";9999-12-31;"WO";"2015106921";"A1";2015-07-23;"de"
12714265;2012;42;"EP";"ISR";9999-12-31;"WO";"2012139881";"A1";2012-10-18;"en"
12714952;2012;46;"EP";"ISR";9999-12-31;"WO";"2012152356";"A1";2012-11-15;"de"
12759698;2013;13;"EP";"ISR";9999-12-31;"WO";"2013041459";"A1";2013-03-28;"de"
12769960;2013;16;"EP";"ISR";9999-12-31;"WO";"2013053548";"A2";2013-04-18;"de"
80300090;0;0;"EP";"SUP";1980-06-16;"  ";"";"  ";9999-12-31;"  "
80300090;1980;17;"EP";"NAT";9999-12-31;"EP";"0014521";"A1";1980-08-20;"en"
9447062;2011;23;"EP";"NAT";9999-12-31;"EP";"2330315";"A1";2011-06-08;"en"
13180729;0;0;"EP";"SUP";2014-04-11;"  ";"";"  ";9999-12-31;"  "
80890064;1981;1;"EP";"NAT";9999-12-31;"EP";"0022124";"A1";1981-01-07;"de"
