id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
10186469;2017-01-02;"T0045/17-3503";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2017-02-21
81108731;1989-10-09;"T0669/89-3401";"opposition";1989-11-30;9999-12-31;"APPEAL OF OPPONENT REJECTED";1990-05-18
6254833;2014-09-22;"T1935/14-3309";"opposition";2014-11-21;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2017-09-29
87101385;1991-05-16;"T0654/91-3203";"examination";1991-07-11;9999-12-31;"APPLICATION DEEMED TO BE WITHDRAWN";1993-01-13
93101937;2004-07-06;"T0844/04-3309";"opposition";2004-09-06;9999-12-31;"MAINTENANCE IN AMENDED FORM";2006-03-14
99941416;2007-04-20;"T0659/07-3204";"opposition";2007-07-02;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2009-05-28
7123819;2013-01-21;"T1024/13-3502";"examination";2013-03-26;9999-12-31;"";9999-12-31
8009630;2014-07-17;"T1650/14-3401";"opposition";2014-09-15;9999-12-31;"";9999-12-31
96107161;1999-07-08;"T0958/99-3206";"examination";1999-09-11;2001-06-06;"CONTINUATION OF EXAMINATION PROCEDURE";2001-06-06
96305828;2003-04-07;"";"examination";2003-06-23;2003-07-29;"";9999-12-31
96305828;2004-02-09;"T0603/04-342";"examination";2004-04-13;9999-12-31;"";9999-12-31
8167783;2015-03-02;"T0431/15-3207";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2015-04-27
12705171;2018-02-05;"T0364/18-3204";"opposition";2018-03-30;9999-12-31;"";9999-12-31
13815220;2017-10-18;"T0235/18-3402";"examination";2017-12-22;9999-12-31;"";9999-12-31
93107866;2000-01-22;"T0113/00-3502";"opposition";2000-03-30;9999-12-31;"REVOCATION OF THE PATENT";2002-09-17
6706123;2017-07-14;"T1601/17-3204";"opposition";2017-11-02;9999-12-31;"";9999-12-31
8848052;2016-01-18;"T0095/16-3206";"opposition";2016-03-07;9999-12-31;"";9999-12-31
10781408;2018-07-03;"T1735/18-3204";"opposition";9999-12-31;9999-12-31;"";9999-12-31
12758751;2017-10-27;"T2418/17-3204";"opposition";2018-01-22;9999-12-31;"";9999-12-31
12758751;2017-12-07;"T2418/17-3204";"opposition";2018-02-07;9999-12-31;"";9999-12-31
13159256;2015-07-10;"T2041/15-3401";"examination";2015-09-21;9999-12-31;"WITHDRAWAL OF APPEAL OF THE APPLICANT";2018-02-02
10706269;2016-08-15;"";"opposition";2016-10-14;9999-12-31;"";9999-12-31
10706269;2016-08-16;"T1920/16-3205";"opposition";2016-10-26;9999-12-31;"";9999-12-31
12156864;2018-02-19;"T0492/18-3204";"opposition";2018-04-17;9999-12-31;"";9999-12-31
12166371;2018-02-28;"T0578/18-3204";"opposition";2018-05-02;9999-12-31;"";9999-12-31
10759749;2017-03-30;"T0801/17-3503";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE PATENT PROPRIETOR";2017-05-15
10760006;2016-12-16;"T2719/16-3207";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2017-02-24
80103207;1982-09-15;"T69/86";"examination";1982-09-15;9999-12-31;"";9999-12-31
80103207;1986-02-25;"T0069/86-3201";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";1987-12-24
89309069;1999-12-22;"T0064/00-3308";"opposition";2000-03-01;9999-12-31;"REVOCATION OF THE PATENT";2003-07-08
99125812;2010-02-10;"T0355/10-3502";"opposition";2010-02-18;9999-12-31;"REVOCATION OF THE PATENT";2013-09-12
11382246;2017-04-10;"T0932/17-3204";"opposition";2017-06-19;9999-12-31;"";9999-12-31
11382246;2017-04-20;"T0932/17-3204";"opposition";2017-06-20;9999-12-31;"";9999-12-31
88312315;1996-07-26;"T0720/96-3305";"opposition";1996-10-18;9999-12-31;"APPEAL OF OPPONENT REJECTED";1999-09-16
90870025;2008-05-16;"T1153/08-3308";"opposition";9999-12-31;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2008-07-15
12174100;2017-12-07;"T2640/17-3204";"opposition";2018-03-21;9999-12-31;"";9999-12-31
80104153;1985-11-05;"T0064/86";"examination";1986-01-17;9999-12-31;"";9999-12-31
85301872;1993-11-01;"T0961/93-3204";"opposition";1993-12-27;9999-12-31;"REVOCATION OF THE PATENT";1994-01-14
98940069;2011-01-17;"T0142/11-3204";"opposition";2011-04-04;9999-12-31;"MAINTENANCE IN UNAMENDED FORM";2015-04-22
98966834;2012-07-12;"T1596/12-3502";"opposition";2012-09-12;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2017-02-22
954452;2011-11-10;"T2430/11-3204";"opposition";2012-01-20;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2015-07-01
954452;2011-11-16;"T2430/11-3204";"opposition";2012-01-26;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2015-07-01
