id;bulletin_year;bulletin_nr;publn_auth;publn_nr;publn_kind;publn_date;publn_lg
8784434;2009;10;"WO";"2009026927";"A2";2009-03-05;"en"
5722194;2005;38;"WO";"2005088119";"A1";2005-09-22;"en"
5722194;2006;51;"EP";"1733140";"A1";2006-12-20;"en"
11827276;2012;13;"WO";"2012040071";"A2";2012-03-29;"en"
11827276;2013;31;"EP";"2619450";"A2";2013-07-31;"en"
11833681;2013;35;"EP";"2630423";"A1";2013-08-28;"en"
14837088;2015;23;"WO";"2015084913";"A1";2015-06-11;"en"
81102524;1984;41;"EP";"0037987";"A3";1984-10-10;"de"
81102524;1987;41;"EP";"0037987";"B1";1987-10-07;"de"
11815438;2013;44;"EP";"2655215";"A1";2013-10-30;"de"
11815438;2017;11;"EP";"2655215";"B1";2017-03-15;"de"
8795724;2014;46;"EP";"2195139";"B1";2014-11-12;"en"
11823695;2012;11;"WO";"2012033228";"A1";2012-03-15;"ja"
11816782;2012;7;"WO";"2012021285";"A2";2012-02-16;"en"
11816782;2013;25;"EP";"2603684";"A2";2013-06-19;"en"
14851068;2015;14;"WO";"2015051021";"A1";2015-04-09;"en"
14851068;2016;28;"EP";"3041706";"A1";2016-07-13;"en"
8776075;2012;17;"EP";"2188522";"B8";2012-04-25;"  "
11813681;2012;24;"WO";"2012076851";"A1";2012-06-14;"en"
