id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
4727186;2008;2;"01  00";"FR"
11710901;2013;17;"01  01";"AL"
5000275;2008;34;"01";"BG"
8707361;2011;23;"01  01";"CZ"
10742603;2013;29;"01";"GR"
4727186;2008;2;"01  00";"SK"
7705633;2008;34;"01";"DE"
6755831;2008;34;"01";"FR"
11290434;2013;40;"01";"IT"
8715664;2014;30;"02  01";"ES"
5766122;2010;42;"01";"GR"
10788117;2013;25;"01";"BE"
10788117;2013;25;"01";"RS"
9290794;2013;40;"01";"FI"
5773954;2008;34;"01";"IT"
11290434;2013;40;"01";"SE"
10742603;2013;29;"01";"LT"
5766122;2010;52;"02";"DE"
11710901;2013;17;"01  01";"PL"
11290434;2013;40;"01";"MC"
8776077;2013;25;"01";"NL"
4793855;2009;33;"01";"PL"
11804640;2015;24;"01  01";"BG"
10788117;2013;25;"01";"HR"
4727188;2008;2;"01  00";"SK"
8715664;2014;30;"03  01";"AT"
9735221;2013;25;"01";"NO"
8707361;2011;23;"01  01";"AT"
9290794;2013;40;"01";"PL"
8715664;2014;30;"02  01";"LT"
5773954;2008;34;"01";"CH"
8701733;2012;6;"01";"IS"
11290434;2013;40;"01";"DE"
9785200;2013;25;"01";"LU"
6076187;2009;36;"01";"AT"
13892077;2016;17;"01";"SK"
9725403;2013;25;"01";"LU"
6841815;2009;8;"01  01";"SI"
6076187;2009;36;"01";"LT"
9785200;2013;25;"01";"SM"
15794271;2018;21;"01  00";"CZ"
5000115;2008;34;"01";"BE"
5766122;2010;52;"01";"NL"
11719360;2013;25;"01";"DE"
8701733;2012;6;"01";"NO"
9009058;2014;13;"01";"FI"
8701733;2012;6;"01";"CH"
4727188;2008;2;"01  00";"GB"
8715664;2014;30;"02  01";"LU"
4727186;2008;2;"01  00";"IT"
5766122;2010;52;"02";"TR"
11804640;2015;24;"01  01";"FI"
11703242;2013;25;"01";"PT"
15794271;2018;21;"01  00";"MT"
11804640;2015;24;"01  01";"FR"
8715664;2014;30;"01  01";"IS"
10788117;2013;25;"01";"PT"
6755831;2008;34;"01";"PT"
8707361;2011;23;"01  01";"HU"
5796256;2010;45;"01  01";"LV"
11767374;2015;24;"01  01";"AL"
13892077;2016;17;"01";"SM"
4447286;2006;32;"01  00";"AT"
5773954;2008;34;"01";"CY"
14837373;2018;17;"01";"SK"
11290434;2013;40;"01";"GB"
9735221;2013;25;"01";"IS"
8707361;2011;23;"01  01";"PL"
14837373;2018;17;"01";"FR"
9737113;2013;25;"01";"MT"
9785200;2013;25;"01";"PT"
4447286;2006;32;"01  00";"ES"
8701733;2012;6;"01";"CY"
5766122;2010;42;"01";"LT"
4447286;2006;32;"01  00";"SI"
11719360;2013;25;"01";"BE"
5000115;2008;34;"01";"CZ"
5000275;2008;34;"01";"IT"
5766122;2010;42;"01";"FR"
6755831;2008;34;"01";"NL"
